88,24/11/1969,1960s,23:00,"Sister Lakes, Michigan.",MI,USA,42.06451746,-86.18596269,Disk,I want it known in my life I say in my life time what I witnessed.,N,https://nuforc.org/sighting/?id=172130
89,21/12/1969,1960s,03:30,Aurora,CO,USA,39.72943758,-104.8299913,Light,"Big round cylinder light was coming from sky, no sound",N,https://nuforc.org/sighting/?id=183485
90,01/01/1970,1970s,00:00,[UNSPECIFIED],[UNSPECIFIED],[UNSPECIFIED],-21.94590488,79.93236415,[UNSPECIFIED],UFO contact we made during Desert Shield in the Indian Ocean.,N,https://nuforc.org/sighting/?id=163175
91,02/01/1970,1970s,21:45,Sunderland,England,United Kingdom,54.90491175,-1.38102218,Circle,"In January 1979 at 9:45 PM in Sunderland, England, I, my mother, and a bus driver witnessed a UFO. It was a clear and cold night. The U",N,https://nuforc.org/sighting/?id=188762
92,15/02/1970,1970s,17:34,"Mendoza [sic - perhaps Mendon, NY?]",NY,USA,42.99769533,-77.50501063,Unknown,"Craft seen hovering above myself and my mother, orange emitting cold light. Maybe 20 feet above us. No sound.",N,https://nuforc.org/sighting/?id=177496
93,01/05/1970,1970s,06:00,Rock Island,WA,USA,47.37703412,-120.1443743,Disk,My brother and I were feeding our animals at 0600 before school. Saw big saucer with lights under.,N,https://nuforc.org/sighting/?id=194518
94,01/07/1970,1970s,23:32,Jingzhou,Hubei,China,30.34078188,112.237307,Rectangle,My grandmother encountered a glowing object one summer night when she was about ten years old.,N,https://nuforc.org/sighting/?id=195718
95,15/07/1970,1970s,23:30,Randlett,UT,USA,40.23279697,-109.8074187,Disk,"In line disc type craft, moving in a serpentine fashion across the island and then went vertical in line, silently out of sight",N,https://nuforc.org/sighting/?id=192850
96,19/09/1970,1970s,19:00,Willington,CT,USA,41.88060673,-72.26003513,Disk,We were tracked by a alien craft.,N,https://nuforc.org/sighting/?id=177327
97,16/02/1971,1970s,17:00,Maitland,FL,USA,28.6276712,-81.36310382,Cigar,Seen full view ship hovering over trees 40 feet in air!,N,https://nuforc.org/sighting/?id=176007
